日期,新增用户,活跃用户,启动次数,累计用户,新用户占比,平均日使用时长,平均日启动次数
2021-03-12,14,7024,18802,111488,0.2%,--,--
2021-03-11,50,11294,57961,111474,0.44%,00:02:31,5.13
2021-03-10,77,12195,72987,111424,0.63%,00:03:22,5.98
2021-03-09,69,12547,84977,111347,0.55%,00:03:23,6.77
2021-03-08,51,12141,77138,111278,0.42%,00:03:17,6.35
2021-03-07,38,8273,24876,111227,0.46%,00:02:07,3.01
2021-03-06,42,6028,14829,111189,0.7%,00:01:54,2.46
2021-03-05,60,10850,46304,111147,0.55%,00:02:30,4.27
2021-03-04,60,13218,100661,111087,0.45%,00:04:25,7.62
2021-03-03,83,13771,121752,111027,0.6%,00:05:06,8.84
2021-03-02,110,14204,148617,110944,0.77%,00:06:20,10.46
2021-03-01,189,14826,163959,110834,1.27%,00:07:44,11.06
2021-02-28,219,13529,81442,110645,1.62%,00:05:58,6.02
2021-02-27,106,8719,29155,110426,1.22%,00:03:12,3.34
2021-02-26,89,7537,22797,110320,1.18%,00:02:44,3.02
2021-02-25,64,5349,13325,110231,1.2%,00:02:04,2.49
2021-02-24,46,3850,8746,110167,1.19%,00:01:54,2.27
2021-02-23,36,3710,8326,110121,0.97%,00:01:52,2.24
2021-02-22,55,3731,8196,110085,1.47%,00:01:59,2.2
2021-02-21,48,3088,6716,110030,1.55%,00:01:43,2.17
2021-02-20,43,2773,5870,109982,1.55%,00:01:35,2.12
2021-02-19,30,2978,6402,109939,1.01%,00:01:41,2.15
2021-02-18,30,2783,5643,109909,1.08%,00:01:35,2.03
2021-02-17,12,2486,4883,109879,0.48%,00:01:27,1.96
2021-02-16,37,2436,4856,109867,1.52%,00:01:43,1.99
2021-02-15,28,2356,4572,109830,1.19%,00:01:10,1.94
2021-02-14,21,2481,4638,109802,0.85%,00:01:26,1.87
2021-02-13,24,2572,4973,109781,0.93%,00:01:13,1.93
2021-02-12,17,2840,5977,109757,0.6%,00:01:43,2.1
2021-02-11,16,3230,7221,109740,0.5%,00:01:27,2.24
2021-02-10,29,3755,8920,109724,0.77%,00:01:27,2.38
2021-02-09,32,4187,10513,109695,0.76%,00:01:48,2.51
2021-02-08,43,4701,12501,109663,0.91%,00:01:54,2.66
