日期,新增用户,活跃用户,启动次数,新用户占比,次日留存率,平均单次使用时长,平均日使用时长,平均日启动次数
2020-12-31,15,2853,8540,0.53%,26.67%,00:00:41,00:01:47,2.99
2020-12-30,26,5758,34915,0.45%,23.08%,00:00:37,00:03:16,6.06
2020-12-29,19,4620,18172,0.41%,31.58%,00:00:31,00:01:41,3.93
2020-12-28,32,4865,20053,0.66%,28.13%,00:00:33,00:01:54,4.12
2020-12-27,10,3531,12126,0.28%,30.0%,00:00:43,00:02:08,3.43
2020-12-26,7,3057,10451,0.23%,0.0%,00:00:48,00:02:22,3.42
2020-12-25,25,4707,21951,0.53%,28.0%,00:00:52,00:03:28,4.66
2020-12-24,19,4383,17633,0.43%,26.32%,00:00:33,00:01:51,4.02
2020-12-23,23,5039,24679,0.46%,47.83%,00:00:34,00:02:19,4.9
2020-12-22,22,4320,16314,0.51%,50.0%,00:00:29,00:01:30,3.78
2020-12-21,26,4234,16025,0.61%,26.92%,00:00:30,00:01:34,3.78
2020-12-20,20,2758,8186,0.73%,55.0%,00:00:32,00:01:22,2.97
2020-12-19,17,2435,7386,0.7%,23.53%,00:00:35,00:01:30,3.03
2020-12-18,20,3042,9686,0.66%,20.0%,00:00:29,00:01:18,3.18
2020-12-17,26,4077,15409,0.64%,34.62%,00:00:29,00:01:30,3.78
2020-12-16,20,4502,18607,0.44%,35.0%,00:00:31,00:01:45,4.13
2020-12-15,17,4309,16951,0.39%,64.71%,00:00:26,00:01:23,3.93
2020-12-14,22,4303,16604,0.51%,22.73%,00:00:28,00:01:29,3.86
2020-12-13,19,2732,8208,0.7%,31.58%,00:00:28,00:01:12,3.0
2020-12-12,26,2243,6464,1.16%,19.23%,00:00:30,00:01:15,2.88
2020-12-11,14,3335,10550,0.42%,14.29%,00:00:27,00:01:12,3.16
2020-12-10,20,4212,16333,0.47%,40.0%,00:00:25,00:01:20,3.88
2020-12-09,22,4674,19670,0.47%,36.36%,00:00:24,00:01:24,4.21
2020-12-08,18,4745,19728,0.38%,22.22%,00:00:26,00:01:30,4.16
2020-12-07,30,4978,21147,0.6%,40.0%,00:00:28,00:01:38,4.25
2020-12-06,21,3213,10187,0.65%,38.1%,00:00:28,00:01:16,3.17
2020-12-05,20,2633,7984,0.76%,45.0%,00:00:28,00:01:14,3.03
2020-12-04,34,3853,13429,0.88%,35.29%,00:00:27,00:01:21,3.49
2020-12-03,26,4945,21884,0.53%,34.62%,00:00:25,00:01:29,4.43
2020-12-02,38,5641,27406,0.67%,36.84%,00:00:25,00:01:38,4.86
2020-12-01,42,5683,28464,0.74%,52.38%,00:00:26,00:01:47,5.01
2020-11-30,50,5905,30951,0.85%,54.0%,00:00:27,00:01:56,5.24
2020-11-29,26,4326,17622,0.6%,61.54%,00:00:26,00:01:34,4.07
2020-11-28,36,4214,17261,0.85%,55.56%,00:00:25,00:01:31,4.1
2020-11-27,29,5217,26301,0.56%,41.38%,00:00:25,00:01:49,5.04
2020-11-26,41,6551,39307,0.63%,36.59%,00:00:25,00:02:07,6.0
2020-11-25,51,7046,47266,0.72%,62.75%,00:00:26,00:02:25,6.71
2020-11-24,56,7108,50081,0.79%,57.14%,00:00:27,00:02:37,7.05
2020-11-23,104,7401,53222,1.41%,57.69%,00:00:29,00:02:54,7.19
2020-11-22,55,5700,26175,0.96%,67.27%,00:00:33,00:02:12,4.59
2020-11-21,47,4026,15717,1.17%,42.55%,00:00:32,00:01:48,3.9
2020-11-20,52,4567,19213,1.14%,44.23%,00:00:32,00:01:56,4.21
2020-11-19,41,4305,16628,0.95%,39.02%,00:00:30,00:01:41,3.86
2020-11-18,42,4307,17382,0.98%,38.1%,00:00:28,00:01:36,4.04
2020-11-17,40,4388,17120,0.91%,42.5%,00:00:27,00:01:30,3.9
2020-11-16,63,4921,20561,1.28%,47.62%,00:00:27,00:01:36,4.18
2020-11-15,57,3897,11811,1.46%,70.18%,00:00:31,00:01:20,3.03
2020-11-14,44,3831,11001,1.15%,36.36%,00:00:28,00:01:08,2.87
2020-11-13,35,4153,14052,0.84%,37.14%,00:00:28,00:01:19,3.38
2020-11-12,49,5330,22665,0.92%,38.78%,00:00:27,00:01:36,4.25
2020-11-11,56,5503,24569,1.02%,28.57%,00:00:28,00:01:42,4.46
2020-11-10,49,5208,20192,0.94%,42.86%,00:00:29,00:01:36,3.88
2020-11-09,62,5934,27384,1.04%,43.55%,00:00:28,00:01:48,4.61
2020-11-08,69,4695,17387,1.47%,50.72%,00:00:31,00:01:36,3.7
2020-11-07,39,3537,11623,1.1%,35.9%,00:00:35,00:01:36,3.29
2020-11-06,48,4505,17108,1.07%,41.67%,00:00:31,00:01:40,3.8
2020-11-05,51,5347,23864,0.95%,43.14%,00:00:31,00:01:54,4.46
2020-11-04,70,5257,24262,1.33%,54.29%,00:00:31,00:01:57,4.62
2020-11-03,63,5375,24856,1.17%,46.03%,00:00:31,00:01:57,4.62
2020-11-02,76,5391,25067,1.41%,50.0%,00:00:32,00:02:00,4.65
