日期,新增用户,活跃用户,启动次数,累计用户,新用户占比,平均日使用时长,平均日启动次数
2021-03-12,3,3051,9476,60100,0.1%,--,--
2021-03-11,26,5530,30305,60097,0.47%,00:01:46,5.48
2021-03-10,38,6324,41512,60071,0.6%,00:02:07,6.56
2021-03-09,41,6591,47673,60033,0.62%,00:02:17,7.23
2021-03-08,48,6379,41923,59992,0.75%,00:02:11,6.57
2021-03-07,26,4291,16476,59944,0.61%,00:01:41,3.84
2021-03-06,24,3284,10678,59918,0.73%,00:01:27,3.25
2021-03-05,43,5494,27911,59894,0.78%,00:01:50,5.08
2021-03-04,57,7057,56306,59851,0.81%,00:02:51,7.98
2021-03-03,52,7543,72347,59794,0.69%,00:03:34,9.59
2021-03-02,90,7971,89428,59742,1.13%,00:04:21,11.22
2021-03-01,142,8533,104913,59652,1.66%,00:05:09,12.29
2021-02-28,116,7096,52178,59510,1.63%,00:03:59,7.35
2021-02-27,47,4546,20422,59394,1.03%,00:02:32,4.49
2021-02-26,51,4282,18433,59347,1.19%,00:02:27,4.3
2021-02-25,32,3161,11246,59296,1.01%,00:01:53,3.56
2021-02-24,24,2246,6881,59264,1.07%,00:01:41,3.06
2021-02-23,21,2281,7570,59240,0.92%,00:01:34,3.32
2021-02-22,23,2375,7463,59219,0.97%,00:01:34,3.14
2021-02-21,25,1899,5469,59196,1.32%,00:01:26,2.88
2021-02-20,16,1780,4990,59171,0.9%,00:01:22,2.8
2021-02-19,25,1980,5693,59155,1.26%,00:01:23,2.88
2021-02-18,18,1771,4686,59130,1.02%,00:01:11,2.65
2021-02-17,14,1637,4364,59112,0.86%,00:01:17,2.67
2021-02-16,14,1550,4011,59098,0.9%,00:01:09,2.59
2021-02-15,15,1558,4135,59084,0.96%,00:01:08,2.65
2021-02-14,12,1486,3723,59069,0.81%,00:01:00,2.51
2021-02-13,8,1558,4257,59057,0.51%,00:01:01,2.73
2021-02-12,10,1557,4514,59049,0.64%,00:00:59,2.9
2021-02-11,11,1737,5253,59039,0.63%,00:01:10,3.02
2021-02-10,16,2163,7230,59028,0.74%,00:01:24,3.34
2021-02-09,18,2404,8963,59012,0.75%,00:01:28,3.73
2021-02-08,23,2757,10872,58994,0.83%,00:01:37,3.94
2021-02-07,23,3214,14372,58971,0.72%,00:01:43,4.47
2021-02-06,25,3578,17114,58948,0.7%,00:01:51,4.78
2021-02-05,24,4103,20874,58923,0.58%,00:02:01,5.09
2021-02-04,23,4560,25896,58899,0.5%,00:02:13,5.68
2021-02-03,31,5252,34680,58876,0.59%,00:02:35,6.6
2021-02-02,31,5480,39933,58845,0.57%,00:02:45,7.29
2021-02-01,50,5972,47364,58814,0.84%,00:02:53,7.93
2021-01-31,54,5943,47734,58764,0.91%,00:02:56,8.03
2021-01-30,54,6197,56798,58710,0.87%,00:03:32,9.17
2021-01-29,57,6348,59103,58656,0.9%,00:03:24,9.31
2021-01-28,42,6603,63433,58599,0.64%,00:03:19,9.61
2021-01-27,47,6739,65459,58557,0.7%,00:03:41,9.71
2021-01-26,45,6771,60116,58510,0.66%,00:03:03,8.88
2021-01-25,37,6670,57831,58465,0.55%,00:02:54,8.67
2021-01-24,41,7054,56274,58428,0.58%,00:02:44,7.98
2021-01-23,20,5824,38104,58387,0.34%,00:02:15,6.54
2021-01-22,38,5781,35101,58367,0.66%,00:02:09,6.07
2021-01-21,25,6032,37218,58329,0.41%,00:02:17,6.17
2021-01-20,36,6113,36212,58304,0.59%,00:02:17,5.92
2021-01-19,19,5490,22412,58268,0.35%,00:01:39,4.08
2021-01-18,28,5555,23890,58249,0.5%,00:01:50,4.3
2021-01-17,9,4630,16140,58221,0.19%,00:01:35,3.49
2021-01-16,14,4769,18119,58212,0.29%,00:01:36,3.8
2021-01-15,19,4692,16894,58198,0.4%,00:01:36,3.6
2021-01-14,13,4862,19348,58179,0.27%,00:01:52,3.98
2021-01-13,22,5288,21999,58166,0.42%,00:01:56,4.16
2021-01-12,22,5217,22380,58144,0.42%,00:01:59,4.29
2021-01-11,38,5451,24140,58122,0.7%,00:02:06,4.43
2021-01-10,23,3711,12352,58084,0.62%,00:01:48,3.33
2021-01-09,21,3127,10143,58061,0.67%,00:01:42,3.24
2021-01-08,28,4069,15624,58040,0.69%,00:01:54,3.84
2021-01-07,23,4700,18710,58012,0.49%,00:01:50,3.98
2021-01-06,25,4791,19648,57989,0.52%,00:01:54,4.1
2021-01-05,26,5215,23574,57964,0.5%,00:02:25,4.52
2021-01-04,38,5592,27971,57938,0.68%,00:02:25,5.0
2021-01-03,15,3337,10304,57900,0.45%,00:01:44,3.09
2021-01-02,22,2647,7396,57885,0.83%,00:01:38,2.79
2021-01-01,14,2396,6326,57863,0.58%,00:01:39,2.64
2020-12-31,15,2853,8540,57849,0.53%,00:01:47,2.99
2020-12-30,26,5758,34915,57834,0.45%,00:03:16,6.06
2020-12-29,19,4620,18172,57808,0.41%,00:01:41,3.93
2020-12-28,32,4865,20053,57789,0.66%,00:01:54,4.12
2020-12-27,10,3531,12126,57757,0.28%,00:02:08,3.43
2020-12-26,7,3057,10451,57747,0.23%,00:02:22,3.42
2020-12-25,25,4707,21951,57740,0.53%,00:03:28,4.66
2020-12-24,19,4383,17633,57715,0.43%,00:01:51,4.02
2020-12-23,23,5039,24679,57696,0.46%,00:02:19,4.9
2020-12-22,22,4320,16314,57673,0.51%,00:01:30,3.78
2020-12-21,26,4234,16025,57651,0.61%,00:01:34,3.78
2020-12-20,20,2758,8186,57625,0.73%,00:01:22,2.97
2020-12-19,17,2435,7386,57605,0.7%,00:01:30,3.03
2020-12-18,20,3042,9686,57588,0.66%,00:01:18,3.18
2020-12-17,26,4077,15409,57568,0.64%,00:01:30,3.78
2020-12-16,20,4502,18607,57542,0.44%,00:01:45,4.13
2020-12-15,17,4309,16951,57522,0.39%,00:01:23,3.93
2020-12-14,22,4303,16604,57505,0.51%,00:01:29,3.86
2020-12-13,19,2732,8208,57483,0.7%,00:01:12,3.0
2020-12-12,26,2243,6464,57464,1.16%,00:01:15,2.88
2020-12-11,14,3335,10550,57438,0.42%,00:01:12,3.16
2020-12-10,20,4212,16333,57424,0.47%,00:01:20,3.88
2020-12-09,22,4674,19670,57404,0.47%,00:01:24,4.21
2020-12-08,18,4745,19728,57382,0.38%,00:01:30,4.16
2020-12-07,30,4978,21147,57364,0.6%,00:01:38,4.25
2020-12-06,21,3213,10187,57334,0.65%,00:01:16,3.17
2020-12-05,20,2633,7984,57313,0.76%,00:01:14,3.03
2020-12-04,34,3853,13429,57293,0.88%,00:01:21,3.49
2020-12-03,26,4945,21884,57259,0.53%,00:01:29,4.43
2020-12-02,38,5641,27406,57233,0.67%,00:01:38,4.86
2020-12-01,42,5683,28464,57195,0.74%,00:01:47,5.01
2020-11-30,50,5905,30951,57153,0.85%,00:01:56,5.24
2020-11-29,26,4326,17622,57103,0.6%,00:01:34,4.07
2020-11-28,36,4214,17261,57077,0.85%,00:01:31,4.1
2020-11-27,29,5217,26301,57041,0.56%,00:01:49,5.04
2020-11-26,41,6551,39307,57012,0.63%,00:02:07,6.0
2020-11-25,51,7046,47266,56971,0.72%,00:02:25,6.71
2020-11-24,56,7108,50081,56920,0.79%,00:02:37,7.05
2020-11-23,104,7401,53222,56864,1.41%,00:02:54,7.19
2020-11-22,55,5700,26175,56760,0.96%,00:02:12,4.59
2020-11-21,47,4026,15717,56705,1.17%,00:01:48,3.9
2020-11-20,52,4567,19213,56658,1.14%,00:01:56,4.21
2020-11-19,41,4305,16628,56606,0.95%,00:01:41,3.86
2020-11-18,42,4307,17382,56565,0.98%,00:01:36,4.04
2020-11-17,40,4388,17120,56523,0.91%,00:01:30,3.9
2020-11-16,63,4921,20561,56483,1.28%,00:01:36,4.18
2020-11-15,57,3897,11811,56420,1.46%,00:01:20,3.03
2020-11-14,44,3831,11001,56363,1.15%,00:01:08,2.87
2020-11-13,35,4153,14052,56319,0.84%,00:01:19,3.38
2020-11-12,49,5330,22665,56284,0.92%,00:01:36,4.25
2020-11-11,56,5503,24569,56235,1.02%,00:01:42,4.46
2020-11-10,49,5208,20192,56179,0.94%,00:01:36,3.88
2020-11-09,62,5934,27384,56130,1.04%,00:01:48,4.61
2020-11-08,69,4695,17387,56068,1.47%,00:01:36,3.7
2020-11-07,39,3537,11623,55999,1.1%,00:01:36,3.29
2020-11-06,48,4505,17108,55960,1.07%,00:01:40,3.8
2020-11-05,51,5347,23864,55912,0.95%,00:01:54,4.46
2020-11-04,70,5257,24262,55861,1.33%,00:01:57,4.62
2020-11-03,63,5375,24856,55791,1.17%,00:01:57,4.62
2020-11-02,76,5391,25067,55728,1.41%,00:02:00,4.65
2020-11-01,40,3281,11306,55652,1.22%,00:01:44,3.45
2020-10-31,36,2576,8143,55612,1.4%,00:01:40,3.16
2020-10-30,53,4033,15250,55576,1.31%,00:01:35,3.78
2020-10-29,43,4762,20904,55523,0.9%,00:01:44,4.39
2020-10-28,64,5001,23333,55480,1.28%,00:01:54,4.67
2020-10-27,58,5166,24618,55416,1.12%,00:01:52,4.77
2020-10-26,69,5129,24159,55358,1.35%,00:01:55,4.71
2020-10-25,57,3198,10712,55289,1.78%,00:01:46,3.35
2020-10-24,41,2736,8339,55232,1.5%,00:01:35,3.05
2020-10-23,73,3164,9942,55191,2.31%,00:01:24,3.14
2020-10-22,42,4903,22085,55118,0.86%,00:01:39,4.5
2020-10-21,42,5136,24311,55076,0.82%,00:01:46,4.73
2020-10-20,46,5325,27378,55034,0.86%,00:01:58,5.14
2020-10-19,62,5492,28553,54988,1.13%,00:02:00,5.2
2020-10-18,39,3386,11341,54926,1.15%,00:01:37,3.35
2020-10-17,49,3082,10294,54887,1.59%,00:01:35,3.34
2020-10-16,51,4266,16141,54838,1.2%,00:01:35,3.78
2020-10-15,41,5151,24950,54787,0.8%,00:01:50,4.84
2020-10-14,37,5601,30049,54746,0.66%,00:01:58,5.36
2020-10-13,59,5811,33004,54709,1.02%,00:02:00,5.68
2020-10-12,47,6062,34275,54650,0.78%,00:02:06,5.65
2020-10-11,47,4161,14119,54603,1.13%,00:01:41,3.39
2020-10-10,75,6029,34889,54556,1.24%,00:02:10,5.79
2020-10-09,83,6044,29667,54481,1.37%,00:02:03,4.91
2020-10-08,77,4884,18914,54398,1.58%,00:01:55,3.87
2020-10-07,47,3695,11826,54321,1.27%,00:01:27,3.2
2020-10-06,31,3140,9537,54274,0.99%,00:01:30,3.04
2020-10-05,37,2740,7716,54243,1.35%,00:01:29,2.82
2020-10-04,41,2248,6187,54206,1.82%,00:01:32,2.75
2020-10-03,30,2045,5605,54165,1.47%,00:01:22,2.74
2020-10-02,26,2040,5691,54135,1.27%,00:01:25,2.79
2020-10-01,22,2376,6580,54109,0.93%,00:01:19,2.77
2020-09-30,33,5167,25349,54087,0.64%,00:01:50,4.91
2020-09-29,52,6105,35564,54054,0.85%,00:02:04,5.83
2020-09-28,58,6319,38112,54002,0.92%,00:02:18,6.03
2020-09-27,105,6447,39546,53944,1.63%,00:02:29,6.13
2020-09-26,65,5079,21027,53839,1.28%,00:02:00,4.14
2020-09-25,76,5640,27868,53774,1.35%,00:02:05,4.94
2020-09-24,63,6573,44288,53698,0.96%,00:02:25,6.74
2020-09-23,69,6910,52365,53635,1.0%,00:02:48,7.58
2020-09-22,95,7344,59151,53566,1.29%,00:03:04,8.05
2020-09-21,173,7623,65054,53471,2.27%,00:03:22,8.53
2020-09-20,106,5903,31249,53298,1.8%,00:02:41,5.29
2020-09-19,84,5780,30435,53192,1.45%,00:02:29,5.27
2020-09-18,118,6581,47533,53108,1.79%,00:02:53,7.22
2020-09-17,137,7684,81992,52990,1.78%,00:04:03,10.67
2020-09-16,181,7987,98887,52853,2.27%,00:04:58,12.38
2020-09-15,170,8138,116051,52672,2.09%,00:05:47,14.26
2020-09-14,295,8682,141230,52502,3.4%,00:07:29,16.27
2020-09-13,312,7662,79325,52207,4.07%,00:05:43,10.35
2020-09-12,178,6383,50321,51895,2.79%,00:04:29,7.88
2020-09-11,161,5721,42284,51717,2.81%,00:03:42,7.39
2020-09-10,157,5762,46244,51556,2.72%,00:03:54,8.03
2020-09-09,104,5105,36121,51399,2.04%,00:03:09,7.08
2020-09-08,87,5064,36290,51295,1.72%,00:03:03,7.17
2020-09-07,114,5027,36107,51208,2.27%,00:03:02,7.18
2020-09-06,53,4090,24480,51094,1.3%,00:02:34,5.99
2020-09-05,61,4140,26971,51041,1.47%,00:02:40,6.51
2020-09-04,90,4335,28171,50980,2.08%,00:02:52,6.5
2020-09-03,73,4205,27497,50890,1.74%,00:02:48,6.54
2020-09-02,66,4086,23108,50817,1.62%,00:02:27,5.66
2020-09-01,36,3524,15054,50751,1.02%,00:02:03,4.27
2020-08-31,36,3080,11122,50715,1.17%,00:01:52,3.61
2020-08-30,25,2794,9497,50679,0.89%,00:01:54,3.4
2020-08-29,23,2331,7264,50654,0.99%,00:01:39,3.12
2020-08-28,23,1923,5461,50631,1.2%,00:01:37,2.84
2020-08-27,14,1893,5370,50608,0.74%,00:01:31,2.84
2020-08-26,34,1766,5086,50594,1.93%,00:01:30,2.88
2020-08-25,21,1552,4286,50560,1.35%,00:01:31,2.76
2020-08-24,20,1684,4653,50539,1.19%,00:01:22,2.76
2020-08-23,15,1427,3796,50519,1.05%,00:01:27,2.66
2020-08-22,17,1333,3410,50504,1.28%,00:01:22,2.56
2020-08-21,11,1505,4036,50487,0.73%,00:01:20,2.68
2020-08-20,15,1608,4594,50476,0.93%,00:01:28,2.86
2020-08-19,20,1554,4075,50461,1.29%,00:01:32,2.62
2020-08-18,11,1488,4117,50441,0.74%,00:01:22,2.77
2020-08-17,11,1560,4533,50430,0.71%,00:01:32,2.91
2020-08-16,10,1402,3780,50419,0.71%,00:01:21,2.7
2020-08-15,8,1293,3490,50409,0.62%,00:01:33,2.7
2020-08-14,3,1411,4260,50401,0.21%,00:01:36,3.02
2020-08-13,12,1376,3890,50398,0.87%,00:01:23,2.83
2020-08-12,12,1425,4401,50386,0.84%,00:01:24,3.09
2020-08-11,12,1608,4637,50374,0.75%,00:01:34,2.88
2020-08-10,13,1869,5902,50362,0.7%,00:01:45,3.16
2020-08-09,11,1522,4741,50349,0.72%,00:01:39,3.11
2020-08-08,16,1299,3789,50338,1.23%,00:01:36,2.92
2020-08-07,16,1325,3729,50322,1.21%,00:01:32,2.81
2020-08-06,9,1255,3339,50306,0.72%,00:01:18,2.66
2020-08-05,12,1284,3422,50297,0.93%,00:01:29,2.67
